file name,seed,mean,95 percent,worst,,,,
re_25.csv,202205,69.824857,181.616581,320.111502,,,,
re_25.csv,20220502,67.868823,184.205302,439.176955,,,,
re_27.csv,1991,192.751707,362.593012,405.712792,,,,
re_27.csv,202205,187.807137,365.09187,411.444851,,,,
re_27.csv,20220502,187.298199,378.560098,409.792494,,,,
re_29.csv,1991,88.654438,228.256576,437.405386,,,,
re_29.csv,202205,108.765034,253.654586,552.350844,,,,
re_29.csv,20220502,105.865159,270.332959,409.894079,,,,
re_31.csv,1991,61.398947,170.280809,252.455964,,,,
re_31.csv,202205,64.066684,172.732358,254.547507,,,,
re_31.csv,20220502,67.296884,171.602287,270.041183,,,,
re_33.csv,1991,74.733313,175.263204,918.543479,,,,
re_33.csv,202205,71.363748,167.504377,942.90379,,,,
re_33.csv,20220502,80.409977,178.820917,707.002343,,,,
re_35.csv,1991,78.219615,186.120824,359.656426,,,,
re_35.csv,202205,84.996455,191.274425,605.253116,,,,
re_35.csv,20220502,74.044074,193.349273,408.120356,,,,
re_37.csv,1991,231.141727,420.28214,458.781397,,,,
re_37.csv,202205,215.226589,417.749387,463.49484,,,,
re_37.csv,20220502,84.844984,205.589482,464.963347,,,,
re_39.csv,1991,95.751733,267.399451,339.895493,,,,
re_39.csv,202205,94.413517,276.428441,326.415134,,,,
re_39.csv,20220502,121.518863,337.320278,469.346049,,,,
re_41.csv,1991,38.346553,104.288911,132.253545,,,,
re_41.csv,202205,32.40363,84.85783,134.788609,,,,
re_41.csv,20220502,33.644983,103.226384,171.112584,,,,
re_43.csv,1991,50.465177,129.301131,258.38465,,,,
re_43.csv,202205,50.859037,129.878186,433.699755,,,,
re_43.csv,20220502,49.514313,130.773745,316.38361,,,,
re_45.csv,1991,53.74676,134.844029,251.79898,,,,
re_45.csv,202205,51.332683,143.567516,286.070177,,,,
re_45.csv,20220502,57.32158,156.806579,308.350845,,,,
re_47.csv,1991,87.12662,229.97185,378.692118,,,,
re_47.csv,202205,85.167824,230.173409,321.98532,,,,
re_47.csv,20220502,87.872352,241.170267,522.620492,,,,
re_49.csv,1991,111.870343,232.159814,356.319456,,,,
re_49.csv,202205,103.958389,226.918237,482.159149,,,,
re_49.csv,20220502,103.566866,226.647674,310.842779,,,,
re_51.csv,1991,80.235218,268.433162,474.530618,,,,
re_51.csv,202205,81.411728,272.552034,708.192308,,,,
re_51.csv,20220502,76.261152,269.548941,597.288865,,,,
re_53.csv,1991,81.261502,282.736222,514.195634,,,,
re_53.csv,202205,89.401695,318.093021,661.2033,,,,
re_53.csv,20220502,73.164117,286.583225,427.931004,,,,
up_06.csv,1991,38.556281,109.801633,494.586518,,,,
up_06.csv,202205,41.225638,113.092312,989.554253,,,,
up_06.csv,20220502,42.297388,124.028258,838.865483,,,,
up_08.csv,1991,47.625065,156.51232,511.143079,,,,
up_08.csv,202205,52.210232,158.296749,499.331409,,,,
up_08.csv,20220502,46.769674,155.401286,316.711629,,,,
up_10.csv,1991,94.318776,216.017305,430.098899,,,,
up_10.csv,202205,88.297249,228.556513,302.502548,,,,
up_10.csv,20220502,92.155292,216.473449,267.08682,,,,
up_12.csv,1991,73.77802,184.828462,396.895885,,,,
up_12.csv,202205,71.38969,182.534892,291.845891,,,,
up_12.csv,20220502,74.100859,170.603759,250.608323,,,,
up_14.csv,1991,67.581843,178.523035,245.474511,,,,
up_14.csv,202205,69.99814,183.479719,338.862885,,,,
up_14.csv,20220502,69.198036,185.758036,565.511213,,,,
up_16.csv,1991,69.746417,205.367962,539.006206,,,,
up_16.csv,202205,72.002192,210.05489,1013.550339,,,,
up_16.csv,20220502,68.53432,212.316493,937.713563,,,,
up_18.csv,1991,30.817423,104.582618,438.030131,,,,
up_18.csv,202205,30.678775,95.728351,447.577011,,,,
up_18.csv,20220502,30.001526,82.297479,546.926463,,,,
up_20.csv,1991,38.261094,112.106227,240.516499,,,,
up_20.csv,202205,36.608012,111.378416,157.81724,,,,
up_20.csv,20220502,38.517014,117.641184,269.286801,,,,
up_22.csv,1991,61.650738,178.544092,229.883593,,,,
up_22.csv,202205,67.883723,190.501862,262.503361,,,,
up_22.csv,20220502,65.151455,185.552933,255.153557,,,,
up_24.csv,1991,133.455291,352.644365,996.073563,,,,
up_24.csv,202205,131.023709,360.051064,563.128022,,,,
up_24.csv,20220502,133.157819,339.310968,672.113747,,,,
up_26.csv,1991,65.940416,162.093101,250.27039,,,,
up_26.csv,202205,71.09095,178.342235,418.795685,,,,
up_26.csv,20220502,70.870987,170.100321,293.615531,,,,
up_28.csv,1991,70.532587,186.459714,537.036304,,,,
up_28.csv,202205,69.29385,190.418763,431.928585,,,,
up_28.csv,20220502,64.774903,182.899769,295.600596,,,,
up_30.csv,1991,129.825938,348.819467,418.732198,,,,
up_30.csv,202205,158.243431,341.852343,440.858612,,,,
up_30.csv,20220502,164.04937,357.277826,421.608657,,,,
up_32.csv,1991,98.608219,303.366674,571.438559,,,,
up_32.csv,202205,100.480403,279.209452,614.539038,,,,
up_32.csv,20220502,92.934594,291.136868,477.791761,,,,
up_34.csv,1991,59.025297,186.218281,276.222518,,,,
up_34.csv,202205,59.809829,169.06779,247.683404,,,,
up_34.csv,20220502,67.76335,201.105238,456.122983,,,,
up_36.csv,1991,71.603526,197.652758,278.058246,,,,
up_36.csv,202205,72.908231,211.548121,368.767439,,,,
up_36.csv,20220502,76.338646,202.410674,327.716257,,,,
up_38.csv,1991,76.653476,223.777528,577.527472,,,,
up_38.csv,202205,83.655909,221.894449,312.640321,,,,
up_38.csv,20220502,73.715761,223.140888,298.534961,,,,
up_40.csv,1991,85.516931,202.540315,343.428809,,,,
up_40.csv,202205,82.257547,195.025838,434.93125,,,,
up_40.csv,20220502,79.547747,206.391068,449.684592,,,,
up_42.csv,1991,88.268194,241.053186,376.665138,,,,
up_42.csv,202205,91.776456,252.30972,413.908739,,,,
up_42.csv,20220502,91.694162,255.821505,328.272165,,,,
up_44.csv,1991,31.637753,78.269321,432.671894,,,,
up_44.csv,202205,29.50514,81.02039,186.041701,,,,
up_44.csv,20220502,29.328966,72.270705,435.636322,,,,
up_46.csv,1991,42.193335,153.261122,238.295303,,,,
up_46.csv,202205,42.813379,148.956152,222.335518,,,,
up_46.csv,20220502,51.170127,162.561343,658.519965,,,,
up_48.csv,1991,56.547391,156.527737,540.007624,,,,
up_48.csv,202205,58.313131,175.525151,261.86629,,,,
up_48.csv,20220502,62.770985,184.349345,435.554577,,,,
up_50.csv,1991,86.763266,272.493513,440.501749,,,,
up_50.csv,202205,84.705373,288.375199,381.291433,,,,
